state,district,market,commodity,variety,grade,arrival_date,min_price,max_price,modal_price,ingested_at_utc
Gujarat,Amreli,Rajula APMC,Jowar(Sorghum),Local,Local,21/04/2026,1510.0,4625.0,3068.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Junagarh,Junagadh APMC,Castor Seed,Castor seed,FAQ,21/04/2026,5500.0,6200.0,6000.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Junagarh,Junagadh APMC,Kulthi(Horse Gram),Horse gram (Whole),FAQ,21/04/2026,4500.0,5320.0,5100.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Junagarh,Junagadh APMC,Arhar(Tur/Red Gram)(Whole),Arhar (Whole),FAQ,21/04/2026,6000.0,7950.0,7000.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Surendranagar,Vadhvan APMC,Peas Wet,Peas Wet,Medium,21/04/2026,10000.0,12500.0,11250.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Surendranagar,Vadhvan APMC,Tinda,Tinda,Medium,21/04/2026,3000.0,3500.0,3250.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Surendranagar,Vadhvan APMC,Bhindi(Ladies Finger),Bhindi,Medium,21/04/2026,1500.0,2000.0,1750.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Surendranagar,Vadhvan APMC,Methi(Leaves),Methi,Medium,21/04/2026,2000.0,2500.0,2250.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Rajkot,Jasdan APMC,Wheat,2189 No. 2,FAQ,21/04/2026,2105.0,2650.0,2210.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Rajkot,Jasdan APMC,Jowar(Sorghum),Jowar ( White),FAQ,21/04/2026,2500.0,4400.0,3750.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Rajkot,Jasdan APMC,Maize,Hybrid/Local,FAQ,21/04/2026,1250.0,2000.0,1900.0,2026-04-28T19:31:14.006465+00:00
